Date,Price,Open,High,Low,Vol.,Change %
10/02/2022,412.15,405.5,417.65,395.5,56.54M,0.0187
09/25/2022,404.6,416,417.9,390.35,114.96M,-4.37%
09/18/2022,423.1,431.5,443.35,420.55,70.67M,-2.17%
09/11/2022,432.5,447.7,458.95,429.1,61.33M,-3.01%
09/04/2022,445.9,459.75,463.95,440,73.58M,-3.43%
08/28/2022,461.75,451,474.4,450.15,50.26M,-0.71%
08/21/2022,465.05,468.5,470.45,447.6,67.55M,-1.26%
08/14/2022,471,479.6,494.4,468.1,61.45M,-1.37%
08/07/2022,477.55,466,485,463.35,50.18M,0.0264
07/31/2022,465.25,451.95,481,451.05,111.73M,0.0348
07/24/2022,449.6,456,457.6,427.4,86.53M,-1.17%
07/17/2022,454.9,443.95,460.75,443.2,71.17M,0.0334
07/10/2022,440.2,438.05,441.75,423.3,58.84M,-0.31%
07/03/2022,441.55,411.55,443.85,405,81.84M,0.0699
06/26/2022,412.7,417.55,424,402.3,73.21M,0.0083
06/19/2022,409.3,390.55,412.85,376.65,85.54M,0.0523
06/12/2022,388.95,414.9,420.9,382.65,99.35M,-9.13%
06/05/2022,428.05,427.9,440.4,422,60.85M,-0.89%
05/29/2022,431.9,437,449.5,430.5,78.26M,0.0054
05/22/2022,429.6,421.65,433.25,405,78.99M,0.0278
05/15/2022,418,411.9,427.35,396.2,111.29M,0.0339
05/08/2022,404.3,407.15,419.35,366.2,168.77M,-1.04%
05/01/2022,408.55,437.95,442.95,407,71.26M,-6.64%
04/24/2022,437.6,432.75,447.75,423.15,77.88M,-0.28%
04/17/2022,438.85,430,449.35,417,76.09M,0.0181
04/10/2022,431.05,457,458.9,430.1,53.86M,-4.65%
04/03/2022,452.05,444.4,462.7,441.3,108.43M,0.0247
03/27/2022,441.15,432,442.5,426.5,87.25M,0.0209
03/20/2022,432.1,435.5,447,421.2,106.39M,-0.39%
03/13/2022,433.8,418.75,435.7,404,142.32M,0.0374
03/06/2022,418.15,401.75,434.95,376.35,260.04M,0.0022
02/27/2022,417.25,445,458.5,414.75,128.63M,-9.24%
02/20/2022,459.75,490.15,500.4,405.45,174.40M,-6.77%
02/13/2022,493.15,487,511.5,467.3,116.38M,-1.14%
02/06/2022,498.85,502.9,510.5,479.15,77.28M,-0.35%
01/30/2022,500.6,505,520,493,117.56M,0.0066
01/23/2022,497.3,499.7,509.35,467.65,96.26M,-0.91%
01/16/2022,501.85,514.8,528.5,494.25,105.41M,-1.58%
01/09/2022,509.9,493.1,515.4,491.3,97.95M,0.0393
01/02/2022,490.6,493.5,500.85,477.1,104.37M,0.017
12/26/2021,482.4,465.7,483.6,460.1,73.15M,0.0317
12/19/2021,467.6,459.9,478,440,102.18M,-0.55%
12/12/2021,470.2,499.45,506.4,468.2,96.83M,-4.90%
12/05/2021,494.45,480.1,498.5,466,90.86M,0.0299
11/28/2021,480.1,457,484.7,443.1,148.51M,0.0432
11/21/2021,460.2,512.25,512.25,458,155.64M,-9.71%
11/14/2021,509.7,506.25,536.7,501.3,169.57M,0.0052
11/07/2021,507.05,493.9,520.65,490.25,158.80M,0.0354
10/31/2021,489.7,486.45,510,469.8,114.38M,0.0124
10/24/2021,483.7,493.9,510,467.7,177.73M,-1.47%
10/17/2021,490.9,507,525,471.25,280.55M,-1.35%
10/10/2021,497.6,390.15,530,388,512.34M,0.2994
10/03/2021,382.95,336.8,397.55,335,343.65M,0.149
09/26/2021,333.3,323.15,337.9,323.15,164.69M,0.0483
09/19/2021,317.95,304.9,326.95,293.1,150.22M,0.0303
09/12/2021,308.6,299,315.35,295.5,117.61M,0.0323
09/05/2021,298.95,297.5,303.5,290.9,79.89M,0.0115
08/29/2021,295.55,290.1,297.4,286.1,118.77M,0.0343
08/22/2021,285.75,287.2,289.2,268.45,124.97M,0.0094
08/15/2021,283.1,305.95,307.85,281,90.47M,-7.86%
08/08/2021,307.25,300.75,311.5,286.45,121.54M,0.024
08/01/2021,300.05,299.15,306.45,292.75,113.23M,0.0208
07/25/2021,293.95,295,300,283.6,207.10M,-0.54%
07/18/2021,295.55,308.95,310.3,295,103.79M,-5.04%
07/11/2021,311.25,310.8,315.45,306.1,128.65M,0.0162
07/04/2021,306.3,347.05,358.2,301.85,430.83M,-11.19%
